chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,accounting_layer,accounting_note,source_type
juno,current,juno16tvh6wfyz5t3fskvftxns49suv2avg2s45en5j,cosmos16tvh6wfyz5t3fskvftxns49suv2avg2srx6gnw,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1000000,1.000000,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16ullvj6dgghakutzdmdm0tngsz7222lnmq2xtz,cosmos16ullvj6dgghakutzdmdm0tngsz7222lndjfav7,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,616594,0.616594,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16uzmrkdp7vs2vrczsuzermd3knxyup5kmwj0w3,cosmos16uzmrkdp7vs2vrczsuzermd3knxyup5kdu35fd,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,12000000,12.000000,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16v39j5ud2vlva4spxlz8fca54mc0zr99gacg3d,cosmos16v39j5ud2vlva4spxlz8fca54mc0zr9970mnk3,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1000000,1.000000,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16v3f9t68e78jcqn7lyuaqm5ssep56eute6pkkl,cosmos16v3f9t68e78jcqn7lyuaqm5ssep56eut0gzd3r,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,541477,0.541477,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16v56nhglyrz0h90hnj2e69fywepglzgl2jhkmq,cosmos16v56nhglyrz0h90hnj2e69fywepglzgluq5duu,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,500,0.000500,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16v6ktesepce8lrxuqpuqj4wfgsstzg0axqkvxd,cosmos16v6ktesepce8lrxuqpuqj4wfgsstzg0asj4hp3,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,31112,0.031112,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16vx7cuf8k32573fa4mm8eqpflml96hg7lwju9a,cosmos16vx7cuf8k32573fa4mm8eqpflml96hg7fu38zp,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,66260,0.066260,,,das_staking_pending_claim,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; unbonding/pending claim PHMN attributed to user.,das_pending_claim
juno,current,juno16w3paaxhnwjk5j96xdj5f4hvvhy8gu93w8yu67,cosmos16w3paaxhnwjk5j96xdj5f4hvvhy8gu93c488az,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1075950,1.075950,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16w6a4cex0jf8cx7fp37tlxg9x92jendk3cp34f,cosmos16w6a4cex0jf8cx7fp37tlxg9x92jendk82z2j4,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,10355,0.010355,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
