"chain","layer","address","cosmos_address","denom","amount_micro","amount_phmn","tags","relation_notes","accounting_layer","accounting_note"
"beezee","current","bze1z3mkcr2jz424w6m49frgjmy9uhlrx69phqwg3l","cosmos1z3mkcr2jz424w6m49frgjmy9uhlrx69p2yzrrg","ibc/12C0B8B561AFCFDA3C73DEE0F7F84AA2B860D48493C27E8E81A5D14724FAB08B","587395","0.587395","","","beezee_voucher_holder","Counts BeeZee PHMN voucher ownership backed by Osmosis transfer/channel-340 escrow; that Osmosis escrow is backed by Juno ICS20 escrow."
"beezee","current","bze18mhtjwczlzqqgvw84uz8lrdv4hqule3jp8allp","cosmos18mhtjwczlzqqgvw84uz8lrdv4hqule3jur35dk","ibc/12C0B8B561AFCFDA3C73DEE0F7F84AA2B860D48493C27E8E81A5D14724FAB08B","310000","0.310000","","","beezee_voucher_holder","Counts BeeZee PHMN voucher ownership backed by Osmosis transfer/channel-340 escrow; that Osmosis escrow is backed by Juno ICS20 escrow."
"beezee","current","bze1aeqpudy590y4s02mk0dmgmyfe9crlnlzlz5n0l","cosmos1aeqpudy590y4s02mk0dmgmyfe9crlnlzzxccag","ibc/12C0B8B561AFCFDA3C73DEE0F7F84AA2B860D48493C27E8E81A5D14724FAB08B","7483","0.007483","","","beezee_voucher_holder","Counts BeeZee PHMN voucher ownership backed by Osmosis transfer/channel-340 escrow; that Osmosis escrow is backed by Juno ICS20 escrow."
